origin	destination	pax_volume
curacao	trinidad_tobago	14333
curacao	turks_caicos_islands	30
curacao	united_states	104558
curacao	uruguay	272
curacao	venezuela	115365
curacao	british_virgin_islands	112
curacao	united_states_virgin_islands	246
dominica	anguilla	1199
dominica	antigua_barbuda	8654
dominica	argentina	4
dominica	aruba	21
dominica	bahamas	50
dominica	barbados	6668
dominica	belize	2
dominica	bermuda	2
dominica	brazil	45
dominica	canada	1940
dominica	cayman_islands	4
dominica	chile	3
dominica	colombia	22
dominica	costa_rica	11
dominica	cuba	44
dominica	curacao	96
dominica	dominican_republic	484
dominica	ecuador	14
dominica	grenada	608
dominica	guadeloupe	5543
dominica	guatemala	2
dominica	guyana	289
dominica	haiti	422
dominica	honduras	3
dominica	jamaica	28
dominica	martinique	734
dominica	mexico	42
dominica	nicaragua	3
dominica	panama	29
dominica	peru	4
dominica	puerto_rico	11136
dominica	saint_barthelemy	10
dominica	saint_kitts_nevis	823
dominica	saint_lucia	558
dominica	sint_maarten	7235
dominica	saint_vincent_grenadines	415
dominica	suriname	22
dominica	trinidad_tobago	1259
dominica	turks_caicos_islands	2
dominica	united_states	15242
dominica	uruguay	1
dominica	venezuela	116
dominica	british_virgin_islands	1944
dominica	united_states_virgin_islands	2615
dominican_republic	anguilla	2
dominican_republic	antigua_barbuda	3458
dominican_republic	argentina	145443
dominican_republic	aruba	14490
dominican_republic	bahamas	3001
dominican_republic	barbados	298
dominican_republic	belize	307
dominican_republic	bermuda	311
dominican_republic	bolivia	11287
dominican_republic	brazil	106808
dominican_republic	canada	671962
dominican_republic	cayman_islands	801
dominican_republic	chile	121922
dominican_republic	colombia	100747
dominican_republic	costa_rica	39445
dominican_republic	cuba	49534
dominican_republic	curacao	35732
dominican_republic	dominica	800
dominican_republic	ecuador	12387
dominican_republic	el_salvador	4179
dominican_republic	french_guiana	340
dominican_republic	grenada	100
dominican_republic	guadeloupe	13208
dominican_republic	guatemala	8998
dominican_republic	guyana	3155
dominican_republic	haiti	19498
dominican_republic	honduras	5971
dominican_republic	jamaica	13045
dominican_republic	martinique	3369
dominican_republic	mexico	45220
dominican_republic	nicaragua	6030
dominican_republic	panama	104099
dominican_republic	paraguay	7888
dominican_republic	peru	49535
dominican_republic	puerto_rico	172701
dominican_republic	saint_barthelemy	159
dominican_republic	saint_kitts_nevis	795
dominican_republic	saint_lucia	577
dominican_republic	sint_maarten	31526
dominican_republic	saint_martin	422
dominican_republic	saint_vincent_grenadines	17
dominican_republic	suriname	3332
dominican_republic	trinidad_tobago	5695
dominican_republic	turks_caicos_islands	8743
dominican_republic	united_states	3131050
dominican_republic	uruguay	19628
dominican_republic	venezuela	149259
dominican_republic	british_virgin_islands	2749
dominican_republic	united_states_virgin_islands	4461
ecuador	antigua_barbuda	34
ecuador	argentina	63648
ecuador	aruba	4682
ecuador	bahamas	857
ecuador	barbados	216
ecuador	belize	356
ecuador	bermuda	149
ecuador	bolivia	8659
ecuador	brazil	31771
ecuador	canada	34022
ecuador	cayman_islands	106
ecuador	chile	55179
ecuador	colombia	216130
ecuador	costa_rica	9673
ecuador	cuba	28737
ecuador	curacao	2722
ecuador	dominica	2
ecuador	dominican_republic	11947
ecuador	el_salvador	9050
ecuador	french_guiana	10
ecuador	grenada	38
ecuador	guadeloupe	9
ecuador	guatemala	5375
ecuador	guyana	414
ecuador	haiti	828
ecuador	honduras	2940
ecuador	jamaica	702
ecuador	martinique	23
ecuador	mexico	49242
ecuador	nicaragua	2404
ecuador	panama	118520
ecuador	paraguay	4120
ecuador	peru	150638
ecuador	puerto_rico	3534
ecuador	saint_kitts_nevis	36
ecuador	saint_lucia	30
ecuador	sint_maarten	313
ecuador	saint_vincent_grenadines	5
ecuador	suriname	57
ecuador	trinidad_tobago	782
ecuador	turks_caicos_islands	32
ecuador	united_states	888160
ecuador	uruguay	4677
ecuador	venezuela	68146
ecuador	british_virgin_islands	8
ecuador	united_states_virgin_islands	57
el_salvador	argentina	2574
el_salvador	aruba	172
el_salvador	bahamas	166
el_salvador	barbados	59
el_salvador	belize	2925
el_salvador	bermuda	38
el_salvador	bolivia	1055
el_salvador	brazil	5806
el_salvador	canada	22494
el_salvador	cayman_islands	26
el_salvador	chile	2403
el_salvador	colombia	40674
el_salvador	costa_rica	76636
el_salvador	cuba	10105
el_salvador	curacao	139
el_salvador	dominican_republic	4089
el_salvador	ecuador	9082
el_salvador	grenada	14
el_salvador	guatemala	50806
el_salvador	guyana	21
el_salvador	haiti	297
el_salvador	honduras	23914
el_salvador	jamaica	331
el_salvador	martinique	2
el_salvador	mexico	38059
el_salvador	nicaragua	22869
el_salvador	panama	42195
el_salvador	paraguay	732
el_salvador	peru	6006
el_salvador	puerto_rico	2021
el_salvador	sint_maarten	11
el_salvador	saint_vincent_grenadines	8
el_salvador	suriname	5
el_salvador	trinidad_tobago	937
el_salvador	turks_caicos_islands	3
el_salvador	united_states	654312
el_salvador	uruguay	735
el_salvador	venezuela	1780
el_salvador	british_virgin_islands	5
el_salvador	united_states_virgin_islands	80
french_guiana	argentina	2
french_guiana	aruba	64
french_guiana	barbados	4
french_guiana	brazil	14865
french_guiana	canada	130
french_guiana	chile	1
french_guiana	colombia	17
french_guiana	costa_rica	2
french_guiana	cuba	29
french_guiana	curacao	90
french_guiana	dominica	4
french_guiana	dominican_republic	398
french_guiana	ecuador	5
french_guiana	guadeloupe	6534
french_guiana	guyana	360
french_guiana	haiti	1773
french_guiana	martinique	46774
french_guiana	nicaragua	1
french_guiana	panama	2
french_guiana	peru	2
french_guiana	saint_barthelemy	9
french_guiana	saint_lucia	115
french_guiana	sint_maarten	2
french_guiana	saint_martin	404
french_guiana	suriname	2665
french_guiana	trinidad_tobago	43
french_guiana	united_states	2155
french_guiana	venezuela	2
grenada	anguilla	7
grenada	antigua_barbuda	649
grenada	argentina	9
grenada	aruba	59
grenada	bahamas	267
grenada	barbados	10480
grenada	belize	32
grenada	bermuda	131
grenada	brazil	44
grenada	canada	13769
grenada	cayman_islands	72
grenada	chile	51
grenada	colombia	197
grenada	costa_rica	122
grenada	cuba	28
grenada	curacao	191
grenada	dominica	556
grenada	dominican_republic	11
grenada	ecuador	28
grenada	el_salvador	13
grenada	guadeloupe	34
grenada	guatemala	16
grenada	guyana	1009
grenada	haiti	90
grenada	honduras	14
grenada	jamaica	1425
grenada	martinique	174
grenada	mexico	263
grenada	nicaragua	11
grenada	panama	339
grenada	paraguay	14
grenada	peru	18
grenada	puerto_rico	286
grenada	saint_kitts_nevis	278
grenada	saint_lucia	4017
grenada	sint_maarten	318
grenada	saint_vincent_grenadines	3043
grenada	suriname	134
grenada	trinidad_tobago	22519
grenada	turks_caicos_islands	104
grenada	united_states	79833
grenada	venezuela	2356
grenada	british_virgin_islands	696
grenada	united_states_virgin_islands	69
guadeloupe	anguilla	5
guadeloupe	antigua_barbuda	290
guadeloupe	argentina	17
guadeloupe	aruba	24
guadeloupe	bahamas	2
guadeloupe	barbados	2284
guadeloupe	bermuda	5
guadeloupe	brazil	29
guadeloupe	canada	15415
guadeloupe	chile	21
guadeloupe	colombia	36
guadeloupe	costa_rica	17
guadeloupe	cuba	3373
guadeloupe	curacao	20
guadeloupe	dominica	5859
guadeloupe	dominican_republic	14054
guadeloupe	ecuador	7
guadeloupe	french_guiana	15163
guadeloupe	grenada	104
guadeloupe	guatemala	2
guadeloupe	guyana	8
guadeloupe	haiti	9043
guadeloupe	honduras	2
guadeloupe	jamaica	2
guadeloupe	martinique	240680
guadeloupe	mexico	42
guadeloupe	nicaragua	6
guadeloupe	panama	7
guadeloupe	peru	26
guadeloupe	puerto_rico	5557
guadeloupe	saint_barthelemy	12645
guadeloupe	saint_kitts_nevis	53
guadeloupe	saint_lucia	1834
guadeloupe	sint_maarten	1381
guadeloupe	saint_martin	88159
guadeloupe	saint_vincent_grenadines	83
guadeloupe	suriname	3
guadeloupe	trinidad_tobago	208
guadeloupe	turks_caicos_islands	3
guadeloupe	united_states	36487
guadeloupe	venezuela	15
guadeloupe	british_virgin_islands	72
guadeloupe	united_states_virgin_islands	87
guatemala	antigua_barbuda	6
guatemala	argentina	5222
guatemala	aruba	227
guatemala	bahamas	403
guatemala	barbados	178
guatemala	belize	4301
guatemala	bermuda	88
guatemala	bolivia	1103
guatemala	brazil	6638
guatemala	canada	30059
guatemala	cayman_islands	60
guatemala	chile	4341
guatemala	colombia	40819
guatemala	costa_rica	81212
guatemala	cuba	1837
guatemala	curacao	85
guatemala	dominican_republic	8725
guatemala	ecuador	5263
guatemala	el_salvador	52027
guatemala	grenada	30
guatemala	guadeloupe	2
guatemala	guyana	73
guatemala	haiti	393
guatemala	honduras	61835
guatemala	jamaica	484
guatemala	martinique	26
guatemala	mexico	129887
guatemala	nicaragua	37786
guatemala	panama	44318
guatemala	paraguay	697
guatemala	peru	10842
guatemala	puerto_rico	5049
guatemala	saint_lucia	1
guatemala	sint_maarten	24
guatemala	suriname	11
guatemala	trinidad_tobago	715
guatemala	turks_caicos_islands	30
guatemala	united_states	672938
guatemala	uruguay	916
